sentence,adjectives,transparency,polarity,negation,gender,roberta_large_sentence_surprisal,bert_large_cased_sentence_surprisal,xlnet_large_cased_sentence_surprisal,gpt2_large_sentence_surprisal
He is lucky. She too is unlucky.,lucky-unlucky,y,pm,n,mf,13.60596466,6.236774445,128.9987183,33.35420227
He is unlucky. She too is lucky.,lucky-unlucky,y,mp,n,mf,12.67001343,6.45279026,131.3609467,32.74990082
He is not lucky. She too is lucky.,lucky-unlucky,y,pp,y,mf,15.06226349,12.63768578,119.6585846,35.61526489
He is not unlucky. She too is unlucky.,lucky-unlucky,y,mm,y,mf,16.12216568,8.210066795,150.0752411,39.1493454
He is not lucky. She too is unlucky.,lucky-unlucky,y,pm,y,mf,16.07248306,9.309584618,134.9704742,36.53658295
He is not unlucky. She too is lucky.,lucky-unlucky,y,mp,y,mf,17.69161224,9.486823082,139.5270233,38.27685547
She is lucky. He too is lucky.,lucky-unlucky,y,pp,n,fm,3.245250702,5.816779137,111.3726501,30.42647552
She is unlucky. He too is unlucky.,lucky-unlucky,y,mm,n,fm,3.954994202,4.286660194,148.3895264,33.06093597
She is lucky. He too is unlucky.,lucky-unlucky,y,pm,n,fm,13.04063034,5.596657753,140.2340393,33.87670517
She is unlucky. He too is lucky.,lucky-unlucky,y,mp,n,fm,12.74280167,5.736332893,120.2889633,33.70002365
She is not lucky. He too is lucky.,lucky-unlucky,y,pp,y,fm,15.88407898,11.55712223,116.6147385,36.47505188
She is not unlucky. He too is unlucky.,lucky-unlucky,y,mm,y,fm,16.4808197,7.068403244,147.657074,40.41009521
She is not lucky. He too is unlucky.,lucky-unlucky,y,pm,y,fm,16.90074539,8.7228508,135.8732452,37.56884766
She is not unlucky. He too is lucky.,lucky-unlucky,y,mp,y,fm,17.27897644,8.37406826,135.769165,39.24629593
He is tall. She too is tall.,tall-short,n,pp,n,mf,3.420967102,7.630210876,119.0566864,29.87076569
He is short. She too is short.,tall-short,n,mm,n,mf,4.470802307,6.561868668,100.584198,30.328125
He is tall. She too is short.,tall-short,n,pm,n,mf,16.24748611,10.58535767,119.5512085,32.53895187
He is short. She too is tall.,tall-short,n,mp,n,mf,16.14214325,12.4054327,122.258728,32.46524429
He is not tall. She too is tall.,tall-short,n,pp,y,mf,13.18440247,10.30205441,116.0415878,34.28052902
He is not short. She too is short.,tall-short,n,mm,y,mf,13.11321259,11.58705616,107.6183701,37.35412979
He is not tall. She too is short.,tall-short,n,pm,y,mf,12.93167496,11.21794987,109.223114,34.88225555
He is not short. She too is tall.,tall-short,n,mp,y,mf,17.8888855,14.42035484,126.5314484,36.24812317
She is tall. He too is tall.,tall-short,n,pp,n,fm,3.772319794,5.923743248,107.7114334,29.44057465
She is short. He too is short.,tall-short,n,mm,n,fm,5.3240242,5.998291016,115.1443939,30.99211121
She is tall. He too is short.,tall-short,n,pm,n,fm,16.49247742,9.891385078,117.0991821,32.24255371
She is short. He too is tall.,tall-short,n,mp,n,fm,14.65325546,9.618357658,106.8218842,32.94990921
She is not tall. He too is tall.,tall-short,n,pp,y,fm,13.45597458,9.900765419,108.3978119,34.59488678
She is not short. He too is short.,tall-short,n,mm,y,fm,15.27301788,11.25028038,112.448349,36.86473083
She is not tall. He too is short.,tall-short,n,pm,y,fm,14.44984818,11.56345558,84.69337463,35.2340126
She is not short. He too is tall.,tall-short,n,mp,y,fm,19.31781006,12.68592453,117.2994995,35.61760712
He is nice. She too is nice.,nice-nasty,n,pp,n,mf,4.569705963,9.125008583,97.87211609,31.22938919
He is nasty. She too is nasty.,nice-nasty,n,mm,n,mf,7.103675842,8.671913147,127.3252258,34.39775085
He is nice. She too is nasty.,nice-nasty,n,pm,n,mf,25.74597549,23.92010593,123.894577,38.64252472
He is nasty. She too is nice.,nice-nasty,n,mp,n,mf,23.99627686,22.65661907,125.8628159,37.90695953
He is not nice. She too is nice.,nice-nasty,n,pp,y,mf,20.91753387,16.23941231,110.6878891,37.58615112
He is not nasty. She too is nasty.,nice-nasty,n,mm,y,mf,23.8557663,21.47612572,112.728714,43.04163742
He is not nice. She too is nasty.,nice-nasty,n,pm,y,mf,18.09702301,24.6029253,124.1946259,39.54915619
He is not nasty. She too is nice.,nice-nasty,n,mp,y,mf,18.34474564,28.23484421,119.6067047,40.97865295
She is nice. He too is nice.,nice-nasty,n,pp,n,fm,4.650138855,8.529998779,116.1779404,30.6461792
She is nasty. He too is nasty.,nice-nasty,n,mm,n,fm,8.034362793,8.135975838,108.29039,33.78918457
She is nice. He too is nasty.,nice-nasty,n,pm,n,fm,25.87584686,21.24719429,124.9978943,38.01234436
She is nasty. He too is nice.,nice-nasty,n,mp,n,fm,23.27781677,23.20662022,118.2268829,37.41072083
She is not nice. He too is nice.,nice-nasty,n,pp,y,fm,19.93098068,15.79595089,99.36891937,37.39659882
She is not nasty. He too is nasty.,nice-nasty,n,mm,y,fm,23.82181549,20.18303204,102.5317078,42.96459198
She is not nice. He too is nasty.,nice-nasty,n,pm,y,fm,20.03443527,24.14027977,123.7870331,39.34839249
She is not nasty. He too is nice.,nice-nasty,n,mp,y,fm,18.60054779,28.18952942,118.5870667,41.25695038
He is nice. She too is nice.,nice-mean,n,pp,n,mf,4.569705963,9.125008583,97.87211609,31.22938919
He is mean. She too is mean.,nice-mean,n,mm,n,mf,6.066059113,6.026402473,97.96669006,31.7807579
He is nice. She too is mean.,nice-mean,n,pm,n,mf,27.47679901,21.98017931,127.8621063,37.8994751
He is mean. She too is nice.,nice-mean,n,mp,n,mf,25.10216522,23.36660862,124.6020813,36.90782928
He is not nice. She too is nice.,nice-mean,n,pp,y,mf,20.91753387,16.23941231,110.6878891,37.58615112
He is not mean. She too is mean.,nice-mean,n,mm,y,mf,19.69759369,15.52564335,114.3255005,39.1123085
He is not nice. She too is mean.,nice-mean,n,pm,y,mf,20.66100311,23.84246016,127.201561,39.88188934
He is not mean. She too is nice.,nice-mean,n,mp,y,mf,17.72509766,25.65199566,135.8371735,39.45803833
She is nice. He too is nice.,nice-mean,n,pp,n,fm,4.650138855,8.529998779,116.1779404,30.6461792
She is mean. He too is mean.,nice-mean,n,mm,n,fm,6.383281708,5.363325119,110.2540131,32.18831635
She is nice. He too is mean.,nice-mean,n,pm,n,fm,26.60437012,19.99514771,123.951004,37.3756485
She is mean. He too is nice.,nice-mean,n,mp,n,fm,24.08930969,21.77204609,109.506012,37.00707626
She is not nice. He too is nice.,nice-mean,n,pp,y,fm,19.93098068,15.79595089,99.36891937,37.39659882
She is not mean. He too is mean.,nice-mean,n,mm,y,fm,18.65820313,13.8399229,111.3326874,39.94338989
She is not nice. He too is mean.,nice-mean,n,pm,y,fm,20.79236984,23.17494297,118.7473831,39.63301468
She is not mean. He too is nice.,nice-mean,n,mp,y,fm,17.69390869,24.93821955,111.8053665,40.25442886
He is kind. She too is kind.,kind-unkind,y,pp,n,mf,3.663581848,6.664873123,117.7123032,31.01293373
He is unkind. She too is unkind.,kind-unkind,y,mm,n,mf,4.685920715,5.232331276,138.3592529,36.06385803
He is kind. She too is unkind.,kind-unkind,y,pm,n,mf,11.8758812,8.003872871,123.9851837,40.69858932
He is unkind. She too is kind.,kind-unkind,y,mp,n,mf,9.213989258,8.959973335,119.8616791,38.3449173
He is not kind. She too is kind.,kind-unkind,y,pp,y,mf,18.98015976,13.06567764,111.5707245,36.72358704
He is not unkind. She too is unkind.,kind-unkind,y,mm,y,mf,11.39926529,7.125208855,144.7337799,40.51559448
He is not kind. She too is unkind.,kind-unkind,y,pm,y,mf,10.96927643,11.17615032,134.2058716,39.85913086
He is not unkind. She too is kind.,kind-unkind,y,mp,y,mf,10.32533264,11.32204819,141.1600647,40.27873611
She is kind. He too is kind.,kind-unkind,y,pp,n,fm,3.007263184,6.780944824,110.2618408,30.42624283
She is unkind. He too is unkind.,kind-unkind,y,mm,n,fm,4.027320862,5.026126862,156.3121948,36.22234726
She is kind. He too is unkind.,kind-unkind,y,pm,n,fm,11.13985062,9.167849541,128.8317871,40.27524185
She is unkind. He too is kind.,kind-unkind,y,mp,n,fm,8.269290924,9.810762405,122.9946899,38.4291954
She is not kind. He too is kind.,kind-unkind,y,pp,y,fm,19.85917282,13.75932789,105.201004,36.87298965
She is not unkind. He too is unkind.,kind-unkind,y,mm,y,fm,11.19562912,6.625601768,148.0363922,40.08011627
She is not kind. He too is unkind.,kind-unkind,y,pm,y,fm,11.85266495,12.16613007,129.2828674,40.37212372
She is not unkind. He too is kind.,kind-unkind,y,mp,y,fm,9.830394745,11.3820076,147.7433777,39.66042328
He is kind. She too is kind.,kind-mean,n,pp,n,mf,3.663581848,6.664873123,117.7123032,31.01293373
He is mean. She too is mean.,kind-mean,n,mm,n,mf,6.066059113,6.026402473,97.96669006,31.7807579
He is kind. She too is mean.,kind-mean,n,pm,n,mf,25.80227661,20.32673454,139.6236267,38.70645523
He is mean. She too is kind.,kind-mean,n,mp,n,mf,21.04199982,19.94102287,131.9011993,35.75624084
He is not kind. She too is kind.,kind-mean,n,pp,y,mf,18.98015976,13.06567764,111.5707245,36.72358704
He is not mean. She too is mean.,kind-mean,n,mm,y,mf,19.69759369,15.52564335,114.3255005,39.1123085
He is not kind. She too is mean.,kind-mean,n,pm,y,mf,20.21479034,22.55777025,136.3636475,40.36005783
He is not mean. She too is kind.,kind-mean,n,mp,y,mf,15.51448822,21.73088646,146.6113586,37.84882736
She is kind. He too is kind.,kind-mean,n,pp,n,fm,3.007263184,6.780944824,110.2618408,30.42624283
She is mean. He too is mean.,kind-mean,n,mm,n,fm,6.383281708,5.363325119,110.2540131,32.18831635
She is kind. He too is mean.,kind-mean,n,pm,n,fm,25.96484375,19.61132431,134.8019409,38.32337189
She is mean. He too is kind.,kind-mean,n,mp,n,fm,19.9088707,19.05488539,103.2942352,35.68435287
She is not kind. He too is kind.,kind-mean,n,pp,y,fm,19.85917282,13.75932789,105.201004,36.87298965
She is not mean. He too is mean.,kind-mean,n,mm,y,fm,18.65820313,13.8399229,111.3326874,39.94338989
She is not kind. He too is mean.,kind-mean,n,pm,y,fm,21.909832,22.87232447,124.0140686,40.78334045
She is not mean. He too is kind.,kind-mean,n,mp,y,fm,15.51228714,21.32157135,119.7039642,38.75405502
He is kind. She too is kind.,kind-nasty,n,pp,n,mf,3.663581848,6.664873123,117.7123032,31.01293373
He is nasty. She too is nasty.,kind-nasty,n,mm,n,mf,7.103675842,8.671913147,127.3252258,34.39775085
He is kind. She too is nasty.,kind-nasty,n,pm,n,mf,34.16288757,27.98319054,136.5711365,40.57040787
He is nasty. She too is kind.,kind-nasty,n,mp,n,mf,30.62201309,25.8972826,128.642868,38.84559631
He is not kind. She too is kind.,kind-nasty,n,pp,y,mf,18.98015976,13.06567764,111.5707245,36.72358704
He is not nasty. She too is nasty.,kind-nasty,n,mm,y,mf,23.8557663,21.47612572,112.728714,43.04163742
He is not kind. She too is nasty.,kind-nasty,n,pm,y,mf,24.52534866,28.3430109,130.1581116,41.29491806
He is not nasty. She too is kind.,kind-nasty,n,mp,y,mf,20.96678925,28.18949795,125.9640121,41.46111298
She is kind. He too is kind.,kind-nasty,n,pp,n,fm,3.007263184,6.780944824,110.2618408,30.42624283
She is nasty. He too is nasty.,kind-nasty,n,mm,n,fm,8.034362793,8.135975838,108.29039,33.78918457
She is kind. He too is nasty.,kind-nasty,n,pm,n,fm,35.0252037,26.49607658,135.8284302,40.29907608
She is nasty. He too is kind.,kind-nasty,n,mp,n,fm,29.76404572,25.82059669,122.5320282,38.1159668
She is not kind. He too is kind.,kind-nasty,n,pp,y,fm,19.85917282,13.75932789,105.201004,36.87298965
She is not nasty. He too is nasty.,kind-nasty,n,mm,y,fm,23.82181549,20.18303204,102.5317078,42.96459198
She is not kind. He too is nasty.,kind-nasty,n,pm,y,fm,27.58669662,28.89121771,119.5236206,41.83968353
She is not nasty. He too is kind.,kind-nasty,n,mp,y,fm,20.95586777,27.92111588,119.960434,41.76017761
He is friendly. She too is friendly.,friendly-nasty,n,pp,n,mf,3.654067993,6.889942169,115.9746475,32.95710754
He is nasty. She too is nasty.,friendly-nasty,n,mm,n,mf,7.103675842,8.671913147,127.3252258,34.39775085
He is friendly. She too is nasty.,friendly-nasty,n,pm,n,mf,32.79041672,26.80288601,138.1929016,41.92850494
He is nasty. She too is friendly.,friendly-nasty,n,mp,n,mf,29.72647858,25.55540705,132.4577179,40.43778229
He is not friendly. She too is friendly.,friendly-nasty,n,pp,y,mf,22.17601776,16.947155,130.8175507,39.01946259
He is not nasty. She too is nasty.,friendly-nasty,n,mm,y,mf,23.8557663,21.47612572,112.728714,43.04163742
He is not friendly. She too is nasty.,friendly-nasty,n,pm,y,mf,25.85439301,29.48030043,134.6836395,42.82991028
He is not nasty. She too is friendly.,friendly-nasty,n,mp,y,mf,21.04768372,30.22574377,139.2715912,42.69329071
She is friendly. He too is friendly.,friendly-nasty,n,pp,n,fm,3.512664795,6.230792999,108.6753998,33.40101624
She is nasty. He too is nasty.,friendly-nasty,n,mm,n,fm,8.034362793,8.135975838,108.29039,33.78918457
She is friendly. He too is nasty.,friendly-nasty,n,pm,n,fm,32.56254578,24.40293121,134.5195465,42.04701996
She is nasty. He too is friendly.,friendly-nasty,n,mp,n,fm,28.75052261,24.86844826,115.6188354,40.41261292
She is not friendly. He too is friendly.,friendly-nasty,n,pp,y,fm,22.53666687,17.11413288,127.3384018,39.23554993
She is not nasty. He too is nasty.,friendly-nasty,n,mm,y,fm,23.82181549,20.18303204,102.5317078,42.96459198
She is not friendly. He too is nasty.,friendly-nasty,n,pm,y,fm,27.92247391,29.73101616,128.2623444,43.02054596
She is not nasty. He too is friendly.,friendly-nasty,n,mp,y,fm,21.2653656,29.6571188,132.0846863,43.25085068
He is friendly. She too is friendly.,friendly-mean,n,pp,n,mf,3.654067993,6.889942169,115.9746475,32.95710754
He is mean. She too is mean.,friendly-mean,n,mm,n,mf,6.066059113,6.026402473,97.96669006,31.7807579
He is friendly. She too is mean.,friendly-mean,n,pm,n,mf,34.24690247,24.53610611,135.9864197,40.77819061
He is mean. She too is friendly.,friendly-mean,n,mp,n,mf,30.20684814,25.3996048,130.2663574,39.54497528
He is not friendly. She too is friendly.,friendly-mean,n,pp,y,mf,22.17601776,16.947155,130.8175507,39.01946259
He is not mean. She too is mean.,friendly-mean,n,mm,y,mf,19.69759369,15.52564335,114.3255005,39.1123085
He is not friendly. She too is mean.,friendly-mean,n,pm,y,mf,26.76314926,30.00942326,134.9270172,42.52115631
He is not mean. She too is friendly.,friendly-mean,n,mp,y,mf,19.52961731,29.22042847,143.5405273,40.87445068
She is friendly. He too is friendly.,friendly-mean,n,pp,n,fm,3.512664795,6.230792999,108.6753998,33.40101624
She is mean. He too is mean.,friendly-mean,n,mm,n,fm,6.383281708,5.363325119,110.2540131,32.18831635
She is friendly. He too is mean.,friendly-mean,n,pm,n,fm,33.62337112,23.01458645,132.486084,40.83676147
She is mean. He too is friendly.,friendly-mean,n,mp,n,fm,29.47480011,22.81226063,124.0527802,39.78638458
She is not friendly. He too is friendly.,friendly-mean,n,pp,y,fm,22.53666687,17.11413288,127.3384018,39.23554993
She is not mean. He too is mean.,friendly-mean,n,mm,y,fm,18.65820313,13.8399229,111.3326874,39.94338989
She is not friendly. He too is mean.,friendly-mean,n,pm,y,fm,27.64959335,29.70805168,121.0854034,42.4197464
She is not mean. He too is friendly.,friendly-mean,n,mp,y,fm,19.83095932,27.99295998,135.9848022,41.90935898
He is friendly. She too is friendly.,friendly-unfriendly,y,pp,n,mf,3.654067993,6.889942169,115.9746475,32.95710754
He is unfriendly. She too is unfriendly.,friendly-unfriendly,y,mm,n,mf,3.899177551,5.204492569,145.723175,37.33162689
He is friendly. She too is unfriendly.,friendly-unfriendly,y,pm,n,mf,10.72244263,7.63232708,141.1134796,39.84482956
He is unfriendly. She too is friendly.,friendly-unfriendly,y,mp,n,mf,9.201381683,10.60144711,150.9766846,40.77077103
He is not friendly. She too is friendly.,friendly-unfriendly,y,pp,y,mf,22.17601776,16.947155,130.8175507,39.01946259
He is not unfriendly. She too is unfriendly.,friendly-unfriendly,y,mm,y,mf,10.9439621,9.719534874,156.5360107,42.4078064
He is not friendly. She too is unfriendly.,friendly-unfriendly,y,pm,y,mf,7.612945557,16.28986168,156.8897095,41.04214096
He is not unfriendly. She too is friendly.,friendly-unfriendly,y,mp,y,mf,10.54548264,19.24123287,150.1291656,41.47492981
She is friendly. He too is friendly.,friendly-unfriendly,y,pp,n,fm,3.512664795,6.230792999,108.6753998,33.40101624
She is unfriendly. He too is unfriendly.,friendly-unfriendly,y,mm,n,fm,4.772926331,5.456179619,149.0754242,38.10322571
She is friendly. He too is unfriendly.,friendly-unfriendly,y,pm,n,fm,11.85315704,8.402680397,134.3478851,40.55110168
She is unfriendly. He too is friendly.,friendly-unfriendly,y,mp,n,fm,8.975746155,10.90540171,141.1287994,41.32620239
She is not friendly. He too is friendly.,friendly-unfriendly,y,pp,y,fm,22.53666687,17.11413288,127.3384018,39.23554993
She is not unfriendly. He too is unfriendly.,friendly-unfriendly,y,mm,y,fm,11.78478622,9.422035217,148.930603,42.74753571
She is not friendly. He too is unfriendly.,friendly-unfriendly,y,pm,y,fm,9.551273346,16.21076679,150.0926971,41.52128601
She is not unfriendly. He too is friendly.,friendly-unfriendly,y,mp,y,fm,12.25415039,18.825037,138.4159546,41.55897141
He is good. She too is good.,good-bad,n,pp,n,mf,6.232639313,8.885947227,119.5800095,29.51699829
He is bad. She too is bad.,good-bad,n,mm,n,mf,7.739402771,8.302852631,105.4544449,29.68595123
He is good. She too is bad.,good-bad,n,pm,n,mf,22.82184982,17.74796009,124.930191,33.9776535
He is bad. She too is good.,good-bad,n,mp,n,mf,21.57427597,18.64080906,117.0428467,33.64623642
He is not good. She too is good.,good-bad,n,pp,y,mf,22.21496582,14.93277264,86.28852844,33.82280731
He is not bad. She too is bad.,good-bad,n,mm,y,mf,14.41795731,13.01416302,96.003479,35.65112305
He is not good. She too is bad.,good-bad,n,pm,y,mf,15.97758102,16.48600197,115.7385178,34.1212616
He is not bad. She too is good.,good-bad,n,mp,y,mf,14.69399261,15.00575924,121.1777115,33.83149719
She is good. He too is good.,good-bad,n,pp,n,fm,7.968158722,8.180278778,102.3450089,29.23036575
She is bad. He too is bad.,good-bad,n,mm,n,fm,8.520050049,7.263894081,92.92827606,30.70572662
She is good. He too is bad.,good-bad,n,pm,n,fm,21.39413071,16.05801392,108.7467422,33.57698441
She is bad. He too is good.,good-bad,n,mp,n,fm,21.31918335,18.43925953,97.81703949,34.55283356
She is not good. He too is good.,good-bad,n,pp,y,fm,21.33496094,14.27264786,87.48834229,34.67558289
She is not bad. He too is bad.,good-bad,n,mm,y,fm,15.18568039,11.84233189,99.68212891,36.07222748
She is not good. He too is bad.,good-bad,n,pm,y,fm,16.53541183,15.92426205,108.6324005,34.76894379
She is not bad. He too is good.,good-bad,n,mp,y,fm,15.58581543,14.6089077,106.7482147,34.93138885
He is strong. She too is strong.,strong-weak,n,pp,n,mf,4.243961334,7.904250145,120.3459778,28.88643265
He is weak. She too is weak.,strong-weak,n,mm,n,mf,4.951759338,7.485331535,112.074295,29.86053467
He is strong. She too is weak.,strong-weak,n,pm,n,mf,19.5488472,11.88830948,120.0021591,33.22434235
He is weak. She too is strong.,strong-weak,n,mp,n,mf,17.54889679,14.9923954,115.7052765,34.32594299
He is not strong. She too is strong.,strong-weak,n,pp,y,mf,19.76593018,13.39571571,120.0385666,34.89113617
He is not weak. She too is weak.,strong-weak,n,mm,y,mf,17.8841362,11.82698345,104.7875366,35.63073349
He is not strong. She too is weak.,strong-weak,n,pm,y,mf,15.12043762,11.12326431,117.6277161,33.19876099
He is not weak. She too is strong.,strong-weak,n,mp,y,mf,14.42168808,11.7624979,124.1247101,33.85958099
She is strong. He too is strong.,strong-weak,n,pp,n,fm,3.788150787,7.206554413,111.2903519,28.36717033
She is weak. He too is weak.,strong-weak,n,mm,n,fm,5.541301727,5.970630646,106.6363678,29.44356537
She is strong. He too is weak.,strong-weak,n,pm,n,fm,17.75379944,10.93379498,115.2818985,32.23897552
She is weak. He too is strong.,strong-weak,n,mp,n,fm,17.07320404,14.13525105,113.5646515,34.36448669
She is not strong. He too is strong.,strong-weak,n,pp,y,fm,18.95108414,13.7149744,118.4710693,35.76010513
She is not weak. He too is weak.,strong-weak,n,mm,y,fm,16.46651459,10.17465878,107.1355743,35.4439888
She is not strong. He too is weak.,strong-weak,n,pm,y,fm,15.6541214,10.04955578,112.6138229,33.47310638
She is not weak. He too is strong.,strong-weak,n,mp,y,fm,15.1293335,10.7181673,125.7857819,34.41239166
He is polite. She too is polite.,polite-rude,n,pp,n,mf,2.90145874,5.587778091,122.2174911,32.44031525
He is rude. She too is rude.,polite-rude,n,mm,n,mf,5.831356049,6.772392273,117.4246292,32.40356064
He is polite. She too is rude.,polite-rude,n,pm,n,mf,26.12355423,16.65138817,128.5576935,37.91036224
He is rude. She too is polite.,polite-rude,n,mp,n,mf,21.78681183,15.13936901,127.1066895,37.72743988
He is not polite. She too is polite.,polite-rude,n,pp,y,mf,18.22279358,14.26533794,119.461853,38.81520081
He is not rude. She too is rude.,polite-rude,n,mm,y,mf,17.70577621,18.41340637,122.0041351,40.07373047
He is not polite. She too is rude.,polite-rude,n,pm,y,mf,16.42079926,18.92339516,133.1360474,38.93170547
He is not rude. She too is polite.,polite-rude,n,mp,y,mf,12.18255615,19.77586174,125.4282074,39.29977798
She is polite. He too is polite.,polite-rude,n,pp,n,fm,2.803848267,5.243052483,123.6495667,32.36333847
She is rude. He too is rude.,polite-rude,n,mm,n,fm,6.237197876,6.013129234,109.6715698,32.49681091
She is polite. He too is rude.,polite-rude,n,pm,n,fm,25.2290535,15.41465902,123.4828033,37.37034607
She is rude. He too is polite.,polite-rude,n,mp,n,fm,21.62474442,14.92478943,117.2641144,38.16405106
She is not polite. He too is polite.,polite-rude,n,pp,y,fm,19.13531876,14.38733768,122.5979919,38.75819778
She is not rude. He too is rude.,polite-rude,n,mm,y,fm,16.83083344,16.87060738,96.27508545,39.92989349
She is not polite. He too is rude.,polite-rude,n,pm,y,fm,17.82651138,17.92937469,120.6818085,38.49962616
She is not rude. He too is polite.,polite-rude,n,mp,y,fm,12.61400604,19.02416897,119.9107666,39.82633209
He is polite. She too is polite.,polite-impolite,y,pp,n,mf,2.90145874,5.587778091,122.2174911,32.44031525
He is impolite. She too is impolite.,polite-impolite,y,mm,n,mf,4.638221741,5.40951252,157.9026337,34.39377975
He is polite. She too is impolite.,polite-impolite,y,pm,n,mf,15.71912003,14.48146629,141.4059906,41.26293564
He is impolite. She too is polite.,polite-impolite,y,mp,n,mf,11.10051727,13.48555088,151.3710632,40.12707138
He is not polite. She too is polite.,polite-impolite,y,pp,y,mf,18.22279358,14.26533794,119.461853,38.81520081
He is not impolite. She too is impolite.,polite-impolite,y,mm,y,mf,10.31217194,10.42856979,179.3225708,40.5123558
He is not polite. She too is impolite.,polite-impolite,y,pm,y,mf,19.36589813,21.41521358,144.763031,42.58301926
He is not impolite. She too is polite.,polite-impolite,y,mp,y,mf,13.89253235,19.4621067,178.5852661,42.1592865
She is polite. He too is polite.,polite-impolite,y,pp,n,fm,2.803848267,5.243052483,123.6495667,32.36333847
She is impolite. He too is impolite.,polite-impolite,y,mm,n,fm,3.929107666,4.751537323,165.715683,34.93249512
She is polite. He too is impolite.,polite-impolite,y,pm,n,fm,15.13708878,13.65453053,143.3272095,41.29070663
She is impolite. He too is polite.,polite-impolite,y,mp,n,fm,11.03155518,13.3960104,153.4749451,39.67087173
She is not polite. He too is polite.,polite-impolite,y,pp,y,fm,19.13531876,14.38733768,122.5979919,38.75819778
She is not impolite. He too is impolite.,polite-impolite,y,mm,y,fm,9.868930817,9.451647758,170.8843079,40.73305511
She is not polite. He too is impolite.,polite-impolite,y,pm,y,fm,19.27038956,20.13378716,145.8697662,42.61700058
She is not impolite. He too is polite.,polite-impolite,y,mp,y,fm,14.3855896,18.15684748,171.0762634,41.87076569
He is courteous. She too is courteous.,courteous-rude,n,pp,n,mf,2.946250916,5.110100746,131.6550598,37.49917603
