,Unnamed: 0.1,Unnamed: 0,sentence,adjectives,transparency,polarity,negation,gender,roberta_large_mnli_contradiction_scores,roberta_large_mnli_entailment_scores,deberta_large_mnli_contradiction_scores,deberta_large_mnli_entailment_scores
46,46,46,She is not lucky. She is unlucky.,lucky-unlucky,y,pm,y,ff,0.9250335097312927,0.7251514196395874,0.9750771522521972,0.8849015235900879
47,47,47,She is not unlucky. She is lucky.,lucky-unlucky,y,mp,y,ff,0.3381579518318176,0.6570091247558594,0.1472091525793075,0.7514033913612366
48,48,48,He is tall. He is tall.,tall-short,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
49,49,49,He is short. He is short.,tall-short,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
50,50,50,He is tall. He is short.,tall-short,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
51,51,51,He is short. He is tall.,tall-short,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
52,52,52,He is not tall. He is tall.,tall-short,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
53,53,53,He is not short. He is short.,tall-short,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
54,54,54,He is not tall. He is short.,tall-short,n,pm,y,mm,0.9214917421340942,0.8204576373100281,0.945155382156372,0.8278752565383911
55,55,55,He is not short. He is tall.,tall-short,n,mp,y,mm,0.7083452343940735,0.8436398506164551,0.6186679005622864,0.8683820962905884
56,56,56,She is tall. She is tall.,tall-short,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
57,57,57,She is short. She is short.,tall-short,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
58,58,58,She is tall. She is short.,tall-short,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
59,59,59,She is short. She is tall.,tall-short,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
60,60,60,She is not tall. She is tall.,tall-short,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
61,61,61,She is not short. She is short.,tall-short,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
62,62,62,She is not tall. She is short.,tall-short,n,pm,y,ff,0.9177890419960022,0.8352500200271606,0.9537672400474548,0.835557222366333
63,63,63,She is not short. She is tall.,tall-short,n,mp,y,ff,0.6965129971504211,0.8432732224464417,0.6158932447433472,0.868303656578064
64,64,64,He is nice. He is nice.,nice-nasty,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
65,65,65,He is nasty. He is nasty.,nice-nasty,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
66,66,66,He is nice. He is nasty.,nice-nasty,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
67,67,67,He is nasty. He is nice.,nice-nasty,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
68,68,68,He is not nice. He is nice.,nice-nasty,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
69,69,69,He is not nasty. He is nasty.,nice-nasty,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
70,70,70,He is not nice. He is nasty.,nice-nasty,n,pm,y,mm,0.9661088585853577,0.7951040267944336,0.9897427558898926,0.9540156722068788
71,71,71,He is not nasty. He is nice.,nice-nasty,n,mp,y,mm,0.32210806012153625,0.8225831389427185,0.2912245690822601,0.768772542476654
72,72,72,She is nice. She is nice.,nice-nasty,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
73,73,73,She is nasty. She is nasty.,nice-nasty,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
74,74,74,She is nice. She is nasty.,nice-nasty,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
75,75,75,She is nasty. She is nice.,nice-nasty,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
76,76,76,She is not nice. She is nice.,nice-nasty,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
77,77,77,She is not nasty. She is nasty.,nice-nasty,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
78,78,78,She is not nice. She is nasty.,nice-nasty,n,pm,y,ff,0.9687538146972656,0.8381441831588745,0.9909628629684448,0.957378387451172
79,79,79,She is not nasty. She is nice.,nice-nasty,n,mp,y,ff,0.26929420232772827,0.8316631317138672,0.2473800629377365,0.7837429046630859
80,80,80,He is nice. He is nice.,nice-mean,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
81,81,81,He is mean. He is mean.,nice-mean,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
82,82,82,He is nice. He is mean.,nice-mean,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
83,83,83,He is mean. He is nice.,nice-mean,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
84,84,84,He is not nice. He is nice.,nice-mean,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
85,85,85,He is not mean. He is mean.,nice-mean,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
86,86,86,He is not nice. He is mean.,nice-mean,n,pm,y,mm,0.9713889360427856,0.7965406775474548,0.9820154309272766,0.9212239384651184
87,87,87,He is not mean. He is nice.,nice-mean,n,mp,y,mm,0.36300814151763916,0.7805823683738708,0.2324173301458358,0.678846538066864
88,88,88,She is nice. She is nice.,nice-mean,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
89,89,89,She is mean. She is mean.,nice-mean,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
90,90,90,She is nice. She is mean.,nice-mean,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
91,91,91,She is mean. She is nice.,nice-mean,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
92,92,92,She is not nice. She is nice.,nice-mean,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
93,93,93,She is not mean. She is mean.,nice-mean,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
94,94,94,She is not nice. She is mean.,nice-mean,n,pm,y,ff,0.9719764590263367,0.831244945526123,0.9847577810287476,0.9292905926704408
95,95,95,She is not mean. She is nice.,nice-mean,n,mp,y,ff,0.32145199179649353,0.8089612126350403,0.2189652919769287,0.6855127811431885
96,96,96,He is kind. He is kind.,kind-unkind,y,pp,n,mm,-1.0,-1.0,-1.0,-1.0
97,97,97,He is unkind. He is unkind.,kind-unkind,y,mm,n,mm,-1.0,-1.0,-1.0,-1.0
98,98,98,He is kind. He is unkind.,kind-unkind,y,pm,n,mm,-1.0,-1.0,-1.0,-1.0
99,99,99,He is unkind. He is kind.,kind-unkind,y,mp,n,mm,-1.0,-1.0,-1.0,-1.0
100,100,100,He is not kind. He is kind.,kind-unkind,y,pp,y,mm,-1.0,-1.0,-1.0,-1.0
101,101,101,He is not unkind. He is unkind.,kind-unkind,y,mm,y,mm,-1.0,-1.0,-1.0,-1.0
102,102,102,He is not kind. He is unkind.,kind-unkind,y,pm,y,mm,0.9834362864494324,0.6280686855316162,0.9918110966682434,0.9523988366127014
103,103,103,He is not unkind. He is kind.,kind-unkind,y,mp,y,mm,0.3038344085216522,0.7755618095397949,0.0739069208502769,0.8232149481773376
104,104,104,She is kind. She is kind.,kind-unkind,y,pp,n,ff,-1.0,-1.0,-1.0,-1.0
105,105,105,She is unkind. She is unkind.,kind-unkind,y,mm,n,ff,-1.0,-1.0,-1.0,-1.0
106,106,106,She is kind. She is unkind.,kind-unkind,y,pm,n,ff,-1.0,-1.0,-1.0,-1.0
107,107,107,She is unkind. She is kind.,kind-unkind,y,mp,n,ff,-1.0,-1.0,-1.0,-1.0
108,108,108,She is not kind. She is kind.,kind-unkind,y,pp,y,ff,-1.0,-1.0,-1.0,-1.0
109,109,109,She is not unkind. She is unkind.,kind-unkind,y,mm,y,ff,-1.0,-1.0,-1.0,-1.0
110,110,110,She is not kind. She is unkind.,kind-unkind,y,pm,y,ff,0.9843183755874634,0.7503719925880432,0.9923686981201172,0.9578535556793212
111,111,111,She is not unkind. She is kind.,kind-unkind,y,mp,y,ff,0.28690820932388306,0.7836804389953613,0.0730526000261306,0.8418847322463989
112,112,112,He is kind. He is kind.,kind-mean,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
113,113,113,He is mean. He is mean.,kind-mean,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
114,114,114,He is kind. He is mean.,kind-mean,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
115,115,115,He is mean. He is kind.,kind-mean,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
116,116,116,He is not kind. He is kind.,kind-mean,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
117,117,117,He is not mean. He is mean.,kind-mean,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
118,118,118,He is not kind. He is mean.,kind-mean,n,pm,y,mm,0.9831283092498779,0.7669772505760193,0.9847092628479004,0.8904329538345337
119,119,119,He is not mean. He is kind.,kind-mean,n,mp,y,mm,0.22918905317783356,0.7527119517326355,0.1774957180023193,0.6156117916107178
120,120,120,She is kind. She is kind.,kind-mean,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
121,121,121,She is mean. She is mean.,kind-mean,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
122,122,122,She is kind. She is mean.,kind-mean,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
123,123,123,She is mean. She is kind.,kind-mean,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
124,124,124,She is not kind. She is kind.,kind-mean,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
125,125,125,She is not mean. She is mean.,kind-mean,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
126,126,126,She is not kind. She is mean.,kind-mean,n,pm,y,ff,0.9832656979560852,0.8066292405128479,0.9858192205429076,0.8996982574462891
127,127,127,She is not mean. She is kind.,kind-mean,n,mp,y,ff,0.2039966732263565,0.7858549952507019,0.1693647056818008,0.63132643699646
128,128,128,He is kind. He is kind.,kind-nasty,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
129,129,129,He is nasty. He is nasty.,kind-nasty,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
130,130,130,He is kind. He is nasty.,kind-nasty,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
131,131,131,He is nasty. He is kind.,kind-nasty,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
132,132,132,He is not kind. He is kind.,kind-nasty,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
133,133,133,He is not nasty. He is nasty.,kind-nasty,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
134,134,134,He is not kind. He is nasty.,kind-nasty,n,pm,y,mm,0.9824302792549133,0.8029382824897766,0.9875056147575378,0.918574869632721
135,135,135,He is not nasty. He is kind.,kind-nasty,n,mp,y,mm,0.17507925629615784,0.8339322209358215,0.2429604828357696,0.6326236128807068
136,136,136,She is kind. She is kind.,kind-nasty,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
137,137,137,She is nasty. She is nasty.,kind-nasty,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
138,138,138,She is kind. She is nasty.,kind-nasty,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
139,139,139,She is nasty. She is kind.,kind-nasty,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
140,140,140,She is not kind. She is kind.,kind-nasty,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
141,141,141,She is not nasty. She is nasty.,kind-nasty,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
142,142,142,She is not kind. She is nasty.,kind-nasty,n,pm,y,ff,0.983101487159729,0.8391214609146118,0.9880548119544984,0.9245504140853882
143,143,143,She is not nasty. She is kind.,kind-nasty,n,mp,y,ff,0.15856744349002838,0.8482666015625,0.2082019299268722,0.6486755609512329
144,144,144,He is friendly. He is friendly.,friendly-nasty,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
145,145,145,He is nasty. He is nasty.,friendly-nasty,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
146,146,146,He is friendly. He is nasty.,friendly-nasty,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
147,147,147,He is nasty. He is friendly.,friendly-nasty,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
148,148,148,He is not friendly. He is friendly.,friendly-nasty,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
149,149,149,He is not nasty. He is nasty.,friendly-nasty,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
150,150,150,He is not friendly. He is nasty.,friendly-nasty,n,pm,y,mm,0.9833781719207764,0.8028817772865295,0.9842501282691956,0.9424367547035216
151,151,151,He is not nasty. He is friendly.,friendly-nasty,n,mp,y,mm,0.21204563975334167,0.8028148412704468,0.2397929728031158,0.696590006351471
152,152,152,She is friendly. She is friendly.,friendly-nasty,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
153,153,153,She is nasty. She is nasty.,friendly-nasty,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
154,154,154,She is friendly. She is nasty.,friendly-nasty,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
155,155,155,She is nasty. She is friendly.,friendly-nasty,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
156,156,156,She is not friendly. She is friendly.,friendly-nasty,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
157,157,157,She is not nasty. She is nasty.,friendly-nasty,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
158,158,158,She is not friendly. She is nasty.,friendly-nasty,n,pm,y,ff,0.9829164147377014,0.8490739464759827,0.9865207076072692,0.9440656900405884
159,159,159,She is not nasty. She is friendly.,friendly-nasty,n,mp,y,ff,0.18997053802013397,0.8371577262878418,0.2093068063259124,0.7038765549659729
160,160,160,He is friendly. He is friendly.,friendly-mean,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
161,161,161,He is mean. He is mean.,friendly-mean,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
162,162,162,He is friendly. He is mean.,friendly-mean,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
163,163,163,He is mean. He is friendly.,friendly-mean,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
164,164,164,He is not friendly. He is friendly.,friendly-mean,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
165,165,165,He is not mean. He is mean.,friendly-mean,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
166,166,166,He is not friendly. He is mean.,friendly-mean,n,pm,y,mm,0.9859073758125305,0.8047091960906982,0.9768422842025756,0.9110897183418274
167,167,167,He is not mean. He is friendly.,friendly-mean,n,mp,y,mm,0.2993532121181488,0.7135540246963501,0.1853545159101486,0.5563235282897949
168,168,168,She is friendly. She is friendly.,friendly-mean,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
169,169,169,She is mean. She is mean.,friendly-mean,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
170,170,170,She is friendly. She is mean.,friendly-mean,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
171,171,171,She is mean. She is friendly.,friendly-mean,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
172,172,172,She is not friendly. She is friendly.,friendly-mean,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
173,173,173,She is not mean. She is mean.,friendly-mean,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
174,174,174,She is not friendly. She is mean.,friendly-mean,n,pm,y,ff,0.9840431809425354,0.8334571719169617,0.9800384640693665,0.9180580973625184
175,175,175,She is not mean. She is friendly.,friendly-mean,n,mp,y,ff,0.2637040615081787,0.7698462009429932,0.1792331337928772,0.5688499212265015
176,176,176,He is friendly. He is friendly.,friendly-unfriendly,y,pp,n,mm,-1.0,-1.0,-1.0,-1.0
177,177,177,He is unfriendly. He is unfriendly.,friendly-unfriendly,y,mm,n,mm,-1.0,-1.0,-1.0,-1.0
178,178,178,He is friendly. He is unfriendly.,friendly-unfriendly,y,pm,n,mm,-1.0,-1.0,-1.0,-1.0
179,179,179,He is unfriendly. He is friendly.,friendly-unfriendly,y,mp,n,mm,-1.0,-1.0,-1.0,-1.0
180,180,180,He is not friendly. He is friendly.,friendly-unfriendly,y,pp,y,mm,-1.0,-1.0,-1.0,-1.0
181,181,181,He is not unfriendly. He is unfriendly.,friendly-unfriendly,y,mm,y,mm,-1.0,-1.0,-1.0,-1.0
182,182,182,He is not friendly. He is unfriendly.,friendly-unfriendly,y,pm,y,mm,0.9832934141159058,0.7177892327308655,0.9903735518455504,0.9690016508102416
183,183,183,He is not unfriendly. He is friendly.,friendly-unfriendly,y,mp,y,mm,0.28010159730911255,0.7789481282234192,0.1062283962965011,0.8663057088851929
184,184,184,She is friendly. She is friendly.,friendly-unfriendly,y,pp,n,ff,-1.0,-1.0,-1.0,-1.0
185,185,185,She is unfriendly. She is unfriendly.,friendly-unfriendly,y,mm,n,ff,-1.0,-1.0,-1.0,-1.0
186,186,186,She is friendly. She is unfriendly.,friendly-unfriendly,y,pm,n,ff,-1.0,-1.0,-1.0,-1.0
187,187,187,She is unfriendly. She is friendly.,friendly-unfriendly,y,mp,n,ff,-1.0,-1.0,-1.0,-1.0
188,188,188,She is not friendly. She is friendly.,friendly-unfriendly,y,pp,y,ff,-1.0,-1.0,-1.0,-1.0
189,189,189,She is not unfriendly. She is unfriendly.,friendly-unfriendly,y,mm,y,ff,-1.0,-1.0,-1.0,-1.0
190,190,190,She is not friendly. She is unfriendly.,friendly-unfriendly,y,pm,y,ff,0.9834901094436646,0.7515052556991577,0.9917355179786682,0.9716940522193908
191,191,191,She is not unfriendly. She is friendly.,friendly-unfriendly,y,mp,y,ff,0.24602827429771423,0.795089066028595,0.11075359582901,0.8840937614440918
192,192,192,He is good. He is good.,good-bad,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
193,193,193,He is bad. He is bad.,good-bad,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
194,194,194,He is good. He is bad.,good-bad,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
195,195,195,He is bad. He is good.,good-bad,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
196,196,196,He is not good. He is good.,good-bad,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
197,197,197,He is not bad. He is bad.,good-bad,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
198,198,198,He is not good. He is bad.,good-bad,n,pm,y,mm,0.9687604308128357,0.7843480110168457,0.9919219017028807,0.9495458602905272
199,199,199,He is not bad. He is good.,good-bad,n,mp,y,mm,0.35855042934417725,0.8159877061843872,0.1131564900279045,0.7565450072288513
200,200,200,She is good. She is good.,good-bad,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
201,201,201,She is bad. She is bad.,good-bad,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
202,202,202,She is good. She is bad.,good-bad,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
203,203,203,She is bad. She is good.,good-bad,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
204,204,204,She is not good. She is good.,good-bad,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
205,205,205,She is not bad. She is bad.,good-bad,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
206,206,206,She is not good. She is bad.,good-bad,n,pm,y,ff,0.9719060659408569,0.8155598044395447,0.9929919838905334,0.955155313014984
207,207,207,She is not bad. She is good.,good-bad,n,mp,y,ff,0.2989726960659027,0.8233914375305176,0.0932692214846611,0.7644246220588684
208,208,208,He is strong. He is strong.,strong-weak,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
209,209,209,He is weak. He is weak.,strong-weak,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
210,210,210,He is strong. He is weak.,strong-weak,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
211,211,211,He is weak. He is strong.,strong-weak,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
212,212,212,He is not strong. He is strong.,strong-weak,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
213,213,213,He is not weak. He is weak.,strong-weak,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
214,214,214,He is not strong. He is weak.,strong-weak,n,pm,y,mm,0.9618366360664368,0.7830322980880737,0.9767158031463624,0.8643093705177307
215,215,215,He is not weak. He is strong.,strong-weak,n,mp,y,mm,0.6116665601730347,0.8271146416664124,0.339814156293869,0.8560226559638977
216,216,216,She is strong. She is strong.,strong-weak,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
217,217,217,She is weak. She is weak.,strong-weak,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
218,218,218,She is strong. She is weak.,strong-weak,n,pm,n,ff,-1.0,-1.0,-1.0,-1.0
219,219,219,She is weak. She is strong.,strong-weak,n,mp,n,ff,-1.0,-1.0,-1.0,-1.0
220,220,220,She is not strong. She is strong.,strong-weak,n,pp,y,ff,-1.0,-1.0,-1.0,-1.0
221,221,221,She is not weak. She is weak.,strong-weak,n,mm,y,ff,-1.0,-1.0,-1.0,-1.0
222,222,222,She is not strong. She is weak.,strong-weak,n,pm,y,ff,0.9618676900863647,0.8200637698173523,0.981570303440094,0.8800239562988281
223,223,223,She is not weak. She is strong.,strong-weak,n,mp,y,ff,0.5370559096336365,0.8273159265518188,0.3439023196697235,0.8588089942932129
224,224,224,He is polite. He is polite.,polite-rude,n,pp,n,mm,-1.0,-1.0,-1.0,-1.0
225,225,225,He is rude. He is rude.,polite-rude,n,mm,n,mm,-1.0,-1.0,-1.0,-1.0
226,226,226,He is polite. He is rude.,polite-rude,n,pm,n,mm,-1.0,-1.0,-1.0,-1.0
227,227,227,He is rude. He is polite.,polite-rude,n,mp,n,mm,-1.0,-1.0,-1.0,-1.0
228,228,228,He is not polite. He is polite.,polite-rude,n,pp,y,mm,-1.0,-1.0,-1.0,-1.0
229,229,229,He is not rude. He is rude.,polite-rude,n,mm,y,mm,-1.0,-1.0,-1.0,-1.0
230,230,230,He is not polite. He is rude.,polite-rude,n,pm,y,mm,0.985903799533844,0.6815189123153687,0.9880560040473938,0.9368941187858582
231,231,231,He is not rude. He is polite.,polite-rude,n,mp,y,mm,0.2711935043334961,0.8117380738258362,0.1580026149749755,0.8049277663230896
232,232,232,She is polite. She is polite.,polite-rude,n,pp,n,ff,-1.0,-1.0,-1.0,-1.0
233,233,233,She is rude. She is rude.,polite-rude,n,mm,n,ff,-1.0,-1.0,-1.0,-1.0
